('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         448697 function calls (430575 primitive calls) in 0.891 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50840    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
44146/40188    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    36910    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
    18416    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
    15424    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
    11877    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
    10942    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     9718    0.002    0.000    0.003    0.000 sre_parse.py:254(get)
     9199    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     8818    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     7742    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     7570    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     7239    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     6298    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     6036    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     5656    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     5296    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     4838    0.001    0.000    0.002    0.000 _markupbase.py:44(updatepos)
     4810    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     4376    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     3855    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     3850    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3631    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
 3350/165    0.006    0.000    0.013    0.000 sre_compile.py:71(_compile)
     3337    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
 3312/299    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     3072    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
     3015    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
 2880/173    0.010    0.000    0.028    0.000 sre_parse.py:493(_parse)
     2846    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
2694/2677    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2546    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2498    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2493    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     2489    0.001    0.000    0.003    0.000 __init__.py:558(endData)
     2434    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2400    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
     2309    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2251    0.000    0.000    0.001    0.000 css_parser.py:319(match)
     2087    0.001    0.000    0.001    0.000 element.py:157(setup)
     1880    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1864    0.000    0.000    0.000    0.000 __init__.py:122(unescape)
     1788    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1788    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1650    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1592    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
     1592    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1491    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x101377af8}
 1483/148    0.000    0.000    0.001    0.000 abc.py:121(__subclasscheck__)
 1483/148    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     1458    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     1414    0.000    0.000    0.002    0.000 {built-in method builtins.next}
     1376    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1324    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1265    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
     1265    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
     1243    0.001    0.000    0.002    0.000 __init__.py:544(pushTag)
     1243    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1243    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1243    0.003    0.000    0.007    0.000 element.py:1180(__init__)
     1242    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     1242    0.001    0.000    0.003    0.000 __init__.py:660(_popToTag)
     1242    0.002    0.000    0.011    0.000 __init__.py:694(handle_starttag)
     1242    0.001    0.000    0.006    0.000 __init__.py:735(handle_endtag)
     1242    0.000    0.000    0.000    0.000 element.py:1317(is_empty_element)
     1242    0.006    0.000    0.027    0.000 parser.py:300(parse_starttag)
     1242    0.001    0.000    0.002    0.000 parser.py:351(check_for_whole_start_tag)
     1242    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1242    0.002    0.000    0.013    0.000 _htmlparser.py:122(handle_starttag)
     1242    0.000    0.000    0.007    0.000 _htmlparser.py:177(handle_endtag)
     1173    0.002    0.000    0.009    0.000 parser.py:385(parse_endtag)
     1173    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1072    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      991    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
  967/166    0.002    0.000    0.028    0.000 sre_parse.py:435(_parse_sub)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      945    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      944    0.002    0.000    0.003    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      936    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      922    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      917    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      798    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
  793/702    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  762/736    0.000    0.000    0.003    0.000 typing.py:306(inner)
      708    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      708    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      705    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      674    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      645    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      644    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      636    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      636    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      634    0.000    0.000    0.002    0.000 element.py:2159(search)
      603    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      603    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
