('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         490033 function calls (471208 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      154    0.879    0.006    0.879    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.048    0.048    0.048    0.048 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.044    0.044    0.044    0.044 {method 'connect' of '_socket.socket' objects}
       22    0.020    0.001    0.020    0.001 {built-in method _imp.create_dynamic}
      191    0.015    0.000    0.187    0.001 {method 'read' of '_io.BufferedReader' objects}
 3216/204    0.013    0.000    0.035    0.000 sre_parse.py:493(_parse)
      151    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
 3971/195    0.007    0.000    0.016    0.000 sre_compile.py:71(_compile)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.006    0.006    0.006    0.006 {built-in method _socket.gethostbyname}
        1    0.006    0.006    0.006    0.006 {built-in method _socket.getaddrinfo}
     1242    0.005    0.000    0.023    0.000 parser.py:300(parse_starttag)
    11882    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
      774    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x1038a3af8}
      895    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
    22110    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
        2    0.004    0.002    0.039    0.019 parser.py:133(goahead)
  520/519    0.004    0.000    0.042    0.000 {built-in method builtins.__build_class__}
 3974/371    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
    23232    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
 1211/196    0.003    0.000    0.035    0.000 sre_parse.py:435(_parse_sub)
       25    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      151    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     1243    0.002    0.000    0.006    0.000 element.py:1180(__init__)
       22    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
    59289    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
51860/47112    0.002    0.000    0.003    0.000 {built-in method builtins.len}
    14921    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
    38876    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.002    0.002    0.014    0.014 dammit.py:70(_populate_class_variables)
      906    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     1242    0.002    0.000    0.010    0.000 __init__.py:694(handle_starttag)
      491    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     1173    0.002    0.000    0.008    0.000 parser.py:385(parse_endtag)
     3637    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     1242    0.001    0.000    0.012    0.000 _htmlparser.py:122(handle_starttag)
      944    0.001    0.000    0.003    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
    10453    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     1243    0.001    0.000    0.001    0.000 __init__.py:544(pushTag)
     2087    0.001    0.000    0.001    0.000 element.py:157(setup)
     1242    0.001    0.000    0.002    0.000 __init__.py:660(_popToTag)
     4838    0.001    0.000    0.002    0.000 _markupbase.py:44(updatepos)
        1    0.001    0.001    0.001    0.001 connectionpool.py:483(close)
     4646    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      472    0.001    0.000    0.001    0.000 css_types.py:40(__init__)
       90    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     1242    0.001    0.000    0.001    0.000 __init__.py:530(popTag)
     9495    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2489    0.001    0.000    0.003    0.000 __init__.py:558(endData)
     2536    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     5856    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      798    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     2850    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      340    0.001    0.000    0.058    0.000 re.py:288(_compile)
     5286    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     2536    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    10218    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
       16    0.001    0.000    0.002    0.000 enum.py:180(__new__)
     7667    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
    10544    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1242    0.001    0.000    0.002    0.000 parser.py:351(check_for_whole_start_tag)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      895    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     4120    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
  199/160    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     1242    0.001    0.000    0.005    0.000 __init__.py:735(handle_endtag)
      127    0.001    0.000    0.001    0.000 sre_compile.py:492(_get_charset_prefix)
      151    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      197    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
    201/3    0.000    0.000    0.147    0.049 <frozen importlib._bootstrap>:1022(_find_and_load)
      195    0.000    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     1061    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      270    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      325    0.000    0.000    0.002    0.000 css_parser.py:1115(selector_iter)
      302    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1715    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      422    0.000    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
       26    0.000    0.000    0.003    0.000 response.py:87(decompress)
     6027    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
3497/3429    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 dammit.py:677(_to_unicode)
     3691    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      195    0.000    0.000    0.057    0.000 sre_compile.py:759(compile)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     1242    0.000    0.000    0.005    0.000 _htmlparser.py:177(handle_endtag)
      812    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      495    0.000    0.000    0.001    0.000 element.py:2096(search_tag)
      179    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    52/14    0.000    0.000    0.007    0.000 css_parser.py:925(parse_selectors)
     6286    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      954    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     4180    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      279    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
    179/3    0.000    0.000    0.147    0.049 <frozen importlib._bootstrap>:664(_load_unlocked)
     2667    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1360    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1242    0.000    0.000    0.000    0.000 element.py:1317(is_empty_element)
       12    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
    200/3    0.000    0.000    0.147    0.049 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
3185/2027    0.000    0.000    0.030    0.000 {built-in method builtins.hasattr}
     1003    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      195    0.000    0.000    0.036    0.000 sre_parse.py:939(parse)
      634    0.000    0.000    0.001    0.000 element.py:2159(search)
     7705    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2734    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      883    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
     2251    0.000    0.000    0.001    0.000 css_parser.py:319(match)
      330    0.000    0.000    0.001    0.000 element.py:2192(_matches)
      800    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      422    0.000    0.000    0.001    0.000 element.py:934(__new__)
     5397    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       77    0.000    0.000    0.002    0.000 css_parser.py:474(parse_attribute_selector)
      270    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      175    0.000    0.000    0.000    0.000 typing.py:146(_type_check)
     1864    0.000    0.000    0.000    0.000 __init__.py:122(unescape)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     1243    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      412    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
      151    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      151    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
